document_number,publication_date,agency_id,agency,subagency,title,abstract,type,excerpts,raw_name,slug,url,html_url,pdf_url,public_inspection_pdf_url,json_url,parent_id
2018-04666,2018-03-08,54,Commerce Department,International Trade Administration,"Silicon Metal From Norway: Affirmative Final Determination of Sales at Less Than Fair Value, Final Determination of No Sales, and Final Negative Determination of Critical Circumstances","The Department of Commerce (Commerce) determines that imports of silicon metal from Norway are being, or are likely to be, sold in the United States at less than fair value (LTFV). In addition, we determine that critical circumstances do not exist with respect to imports of the subject merchandise. The period of investigation (POI) is January 1, 2016, through December 31, 2016. The final dumping margins of sales at LTFV are listed below in the ``Final Determination'' section of this notice.",Notice,"The Department of Commerce (Commerce) determines that imports of silicon metal from Norway are being, or are likely to be, sold in the United States at less than fair value (LTFV). In addition, we determine that critical circumstances do not exist with...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04666/silicon-metal-from-norway-affirmative-final-determination-of-sales-at-less-than-fair-value-final,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04666.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04666.pdf?1520430320,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04664,2018-03-08,54,Commerce Department,International Trade Administration,Silicon Metal from the Republic of Kazakhstan: Final Affirmative Countervailing Duty Determination,"The Department of Commerce (Commerce) determines that countervailable subsidies are being provided to producers and exporters of silicon metal from the Republic of Kazakhstan (Kazakhstan) during the period of investigation (POI) January 1, 2016, through December 31, 2016.",Notice,"The Department of Commerce (Commerce) determines that countervailable subsidies are being provided to producers and exporters of silicon metal from the Republic of Kazakhstan (Kazakhstan) during the period of investigation (POI) January 1, 2016,...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04664/silicon-metal-from-the-republic-of-kazakhstan-final-affirmative-countervailing-duty-determination,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04664.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04664.pdf?1520430320,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04678,2018-03-08,54,Commerce Department,International Trade Administration,Certain Softwood Lumber Products From Canada: Initiation of Expedited Review of the Countervailing Duty Order,The Department of Commerce (Commerce) is initiating an expedited review of the countervailing duty order on certain softwood lumber products (softwood lumber) from Canada.,Notice,The Department of Commerce (Commerce) is initiating an expedited review of the countervailing duty order on certain softwood lumber products (softwood lumber) from Canada.,DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04678/certain-softwood-lumber-products-from-canada-initiation-of-expedited-review-of-the-countervailing,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04678.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04678.pdf?1520430323,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04667,2018-03-08,54,Commerce Department,International Trade Administration,Silicon Metal From Australia: Final Affirmative Countervailing Duty Determination,"The Department of Commerce (Commerce) determines that countervailable subsidies are being provided to Simcoa Operations Pty. Ltd. (Simcoa), a producer/exporter of silicon metal from Australia. The period of investigation is January 1, 2016, through December 31, 2016.",Notice,"The Department of Commerce (Commerce) determines that countervailable subsidies are being provided to Simcoa Operations Pty. Ltd. (Simcoa), a producer/exporter of silicon metal from Australia. The period of investigation is January 1, 2016, through...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04667/silicon-metal-from-australia-final-affirmative-countervailing-duty-determination,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04667.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04667.pdf?1520430320,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04668,2018-03-08,54,Commerce Department,International Trade Administration,Silicon Metal From Brazil: Affirmative Final Determination of Sales at Less Than Fair Value,"The Department of Commerce (Commerce) determines that imports of silicon metal from Brazil are being, or are likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is January 1, 2016, through December 31, 2016. The final margins of sales at LTFV are listed below in the ``Final Determination'' section of this notice.",Notice,"The Department of Commerce (Commerce) determines that imports of silicon metal from Brazil are being, or are likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is January 1, 2016, through December...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04668/silicon-metal-from-brazil-affirmative-final-determination-of-sales-at-less-than-fair-value,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04668.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04668.pdf?1520430320,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04661,2018-03-08,54,Commerce Department,International Trade Administration,Silicon Metal From Brazil: Final Affirmative Countervailing Duty Determination,"The Department of Commerce (Commerce) determines that countervailable subsidies are being provided to producers and exporters of silicon metal from Brazil. The period of investigation is January 1, 2016, through December 31, 2016.",Notice,"The Department of Commerce (Commerce) determines that countervailable subsidies are being provided to producers and exporters of silicon metal from Brazil. The period of investigation is January 1, 2016, through December 31, 2016.",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04661/silicon-metal-from-brazil-final-affirmative-countervailing-duty-determination,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04661.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04661.pdf?1520430320,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04657,2018-03-08,54,Commerce Department,International Trade Administration,Silicon Metal From Australia: Affirmative Final Determination of Sales at Less Than Fair Value and Final Affirmative Determination of Critical Circumstances in Part,"The Department of Commerce (Commerce) determines that imports of silicon metal from Australia are being, or are likely to be, sold in the United States at less than fair value (LTFV). In addition, we determine that critical circumstances exist with respect to certain imports of the subject merchandise. The period of investigation (POI) is January 1, 2016, through December 31, 2016. The final dumping margins of sales at LTFV are listed below in the ``Final Determination'' section of this notice.",Notice,"The Department of Commerce (Commerce) determines that imports of silicon metal from Australia are being, or are likely to be, sold in the United States at less than fair value (LTFV). In addition, we determine that critical circumstances exist with...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04657/silicon-metal-from-australia-affirmative-final-determination-of-sales-at-less-than-fair-value-and,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04657.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04657.pdf?1520430320,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04658,2018-03-08,54,Commerce Department,International Trade Administration,Polytetrafluoroethylene Resin From India: Preliminary Affirmative Countervailing Duty Determination,"The Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of polytetrafluoroethylene resin (PTFE resin) from India. The period of investigation is April 1, 2016, through March 31, 2017.",Notice,"The Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of polytetrafluoroethylene resin (PTFE resin) from India. The period of investigation is April 1, 2016, through...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04658/polytetrafluoroethylene-resin-from-india-preliminary-affirmative-countervailing-duty-determination,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04658.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04658.pdf?1520430320,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04681,2018-03-08,54,Commerce Department,National Oceanic and Atmospheric Administration,Proposed Information Collection; Comment Request; Seafood Inspection and Certification Requirements,"The Department of Commerce, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as required by the Paperwork Reduction Act of 1995.",Notice,"The Department of Commerce, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on proposed and/or continuing information collections, as...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04681/proposed-information-collection-comment-request-seafood-inspection-and-certification-requirements,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04681.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04681.pdf?1520430323,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-04682,2018-03-08,54,Commerce Department,National Oceanic and Atmospheric Administration,Submission for OMB Review; Comment Request,,Notice,,DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/03/08/2018-04682/submission-for-omb-review-comment-request,https://www.gpo.gov/fdsys/pkg/FR-2018-03-08/pdf/2018-04682.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-04682.pdf?1520430323,https://www.federalregister.gov/api/v1/agencies/54.json,
