document_number,publication_date,agency_id,agency,subagency,title,abstract,type,excerpts,raw_name,slug,url,html_url,pdf_url,public_inspection_pdf_url,json_url,parent_id
2018-06564,2018-04-03,174,Federal Housing Finance Agency,,Federal Housing Finance Board; Repeal of Federal Housing Finance Board Regulations,"The Federal Housing Finance Agency (FHFA) is proposing to repeal two parts of the Federal Housing Finance Board (Finance Board) regulations, one of which defines terms used in Finance Board regulations and one of which describes the process by which the Finance Board conducted its monthly interest rate survey (MIRS). The definitions to be repealed are either obsolete or duplicate definitions that FHFA has previously adopted. The regulation relating to the MIRS has become outdated because it does not accurately describe the manner in which FHFA currently conducts the survey. Although FHFA intends to continue to conduct the MIRS in the same manner as it is doing presently, there is no need to carry over this provision into its own regulations. FHFA also is proposing to repeal a number of subchapters of the Finance Board regulations that it had previously reserved, but which no longer serve any purpose because they include no regulatory text.",Proposed Rule,"The Federal Housing Finance Agency (FHFA) is proposing to repeal two parts of the Federal Housing Finance Board (Finance Board) regulations, one of which defines terms used in Finance Board regulations and one of which describes the process by which...",FEDERAL HOUSING FINANCE AGENCY,federal-housing-finance-agency,https://www.federalregister.gov/agencies/federal-housing-finance-agency,https://www.federalregister.gov/documents/2018/04/03/2018-06564/federal-housing-finance-board-repeal-of-federal-housing-finance-board-regulations,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06564.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06564.pdf?1522673117,https://www.federalregister.gov/api/v1/agencies/174.json,
2018-05028,2018-04-03,492,Transportation Department,Federal Aviation Administration,Airworthiness Directives; The Boeing Company Airplanes,"We are revising an earlier proposal for all The Boeing Company Model 737-600, -700, -700C, -800, -900, and -900ER series airplanes; Model 757 airplanes; and Model 767 airplanes. This action revises the notice of proposed rulemaking (NPRM) by adding Model 737-8 airplanes and future Model 737 airplanes to the applicability. We are proposing this airworthiness directive (AD) to address the unsafe condition on these products. Since these actions impose an additional burden over those proposed in the NPRM, we are reopening the comment period to allow the public the chance to comment on these changes.",Proposed Rule,"We are revising an earlier proposal for all The Boeing Company Model 737-600, -700, -700C, -800, -900, and -900ER series airplanes; Model 757 airplanes; and Model 767 airplanes. This action revises the notice of proposed rulemaking (NPRM) by adding...",DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/04/03/2018-05028/airworthiness-directives-the-boeing-company-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-05028.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-05028.pdf?1522673117,https://www.federalregister.gov/api/v1/agencies/492.json,
2018-06740,2018-04-03,227,Homeland Security Department,Coast Guard,Special Local Regulations; Sector Ohio Valley Annual and Recurring Special Local Regulations Update,"The Coast Guard proposes to amend its special local regulations for recurring marine parades, regattas, and other events in Coast Guard Sector Ohio Valley. This rule, if adopted, would add 17 new recurring special local regulations, remove 9 special local regulations, and amend the event/sponsor, dates, and/or regulated areas for 48 recurring special local regulations already listed in the current table. This action in necessary to protect spectators, participants, and vessels from the hazards associated with annual marine events. This proposed rulemaking would restrict vessel traffic in the designated areas during the events unless authorized by the Captain of the Port Sector Ohio Valley or a designated representative. We invite your comments on this proposed rulemaking.",Proposed Rule,"The Coast Guard proposes to amend its special local regulations for recurring marine parades, regattas, and other events in Coast Guard Sector Ohio Valley. This rule, if adopted, would add 17 new recurring special local regulations, remove 9 special...",DEPARTMENT OF HOMELAND SECURITY,homeland-security-department,https://www.federalregister.gov/agencies/homeland-security-department,https://www.federalregister.gov/documents/2018/04/03/2018-06740/special-local-regulations-sector-ohio-valley-annual-and-recurring-special-local-regulations-update,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06740.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06740.pdf?1522673128,https://www.federalregister.gov/api/v1/agencies/227.json,
2018-06739,2018-04-03,227,Homeland Security Department,Coast Guard,Safety Zones; Coast Guard Sector Ohio Valley Annual and Recurring Safety Zones Update,"The Coast Guard proposes to amend its safety zone regulations for annual events in Coast Guard Sector Ohio Valley that are listed in the SUPPLEMENTARY INFORMATION section in this document. This proposed rule would add 23 new recurring safety zones and amend the event/ sponsor, dates, and/or regulated areas for 31 recurring safety zones already listed in the current table. This action in necessary to protect spectators, participants, and vessels from the hazards associated with annual marine events. This proposed rulemaking would restrict vessel traffic from the safety zones during the events unless authorized by the Captain of the Port Sector Ohio Valley or a designated representative. We invite your comments on this proposed rulemaking.",Proposed Rule,The Coast Guard proposes to amend its safety zone regulations for annual events in Coast Guard Sector Ohio Valley that are listed in the SUPPLEMENTARY INFORMATION section in this document. This proposed rule would add 23 new recurring safety zones and...,DEPARTMENT OF HOMELAND SECURITY,homeland-security-department,https://www.federalregister.gov/agencies/homeland-security-department,https://www.federalregister.gov/documents/2018/04/03/2018-06739/safety-zones-coast-guard-sector-ohio-valley-annual-and-recurring-safety-zones-update,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06739.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06739.pdf?1522673127,https://www.federalregister.gov/api/v1/agencies/227.json,
2018-06748,2018-04-03,145,Environmental Protection Agency,,Air Plan Approval; Ohio; Hospital/Medical/Infectious Waste Incinerator Withdrawal for Designated Facilities and Pollutants,"The Environmental Protection Agency (EPA) is proposing to approve Ohio's request for withdrawal of the previously approved Hospital/Medical/Infectious Waste Incinerator (HMIWI) State Plan. The Ohio Environmental Protection Agency (OEPA) submitted its HMIWI withdrawal on January 24, 2018, certifying that there is only one HMIWI unit currently operating in the state of Ohio and requesting that the Federal Plan apply to the single source in the State.",Proposed Rule,The Environmental Protection Agency (EPA) is proposing to approve Ohio's request for withdrawal of the previously approved Hospital/Medical/Infectious Waste Incinerator (HMIWI) State Plan. The Ohio Environmental Protection Agency (OEPA) submitted its...,ENVIRONMENTAL PROTECTION AGENCY,environmental-protection-agency,https://www.federalregister.gov/agencies/environmental-protection-agency,https://www.federalregister.gov/documents/2018/04/03/2018-06748/air-plan-approval-ohio-hospitalmedicalinfectious-waste-incinerator-withdrawal-for-designated,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06748.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06748.pdf?1522673130,https://www.federalregister.gov/api/v1/agencies/145.json,
2018-06633,2018-04-03,54,Commerce Department,National Oceanic and Atmospheric Administration,"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Snapper-Grouper Fishery of the South Atlantic Region; Abbreviated Framework Amendment 1","NMFS proposes to implement management measures described in Abbreviated Framework Amendment 1 (Abbreviated Framework 1) to the Fishery Management Plan (FMP) for the Snapper-Grouper Fishery of the South Atlantic Region, as prepared and submitted by the South Atlantic Fishery Management Council (Council). If implemented, this proposed rule would reduce the commercial and recreational annual catch limits (ACLs) for red grouper in the exclusive economic zone (EEZ) of the South Atlantic. The purpose of the proposed rule is to address the overfishing of red grouper.",Proposed Rule,"NMFS proposes to implement management measures described in Abbreviated Framework Amendment 1 (Abbreviated Framework 1) to the Fishery Management Plan (FMP) for the Snapper-Grouper Fishery of the South Atlantic Region, as prepared and submitted by the...",DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06633/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-snapper-grouper-fishery-of-the-south,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06633.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06633.pdf?1522673117,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06660,2018-04-03,54,Commerce Department,National Oceanic and Atmospheric Administration,Control Date for the Northeast Multispecies Charter/Party Fishery; Northeast Multispecies Fishery Management Plan; Correction,This action corrects an error in the Advanced Notice of Proposed Rulemaking that set a control date for the Northeast Multispecies charter/party fishery. This action is necessary because the document provided an incorrect internet address for submission of electronic comments. This action is intended to provide the correct internet address to ensure the public can easily access the online rulemaking portal.,Proposed Rule,This action corrects an error in the Advanced Notice of Proposed Rulemaking that set a control date for the Northeast Multispecies charter/party fishery. This action is necessary because the document provided an incorrect internet address for...,DEPARTMENT OF COMMERCE,commerce-department,https://www.federalregister.gov/agencies/commerce-department,https://www.federalregister.gov/documents/2018/04/03/2018-06660/control-date-for-the-northeast-multispecies-charterparty-fishery-northeast-multispecies-fishery,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06660.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06660.pdf?1522673118,https://www.federalregister.gov/api/v1/agencies/54.json,
2018-06759,2018-04-03,12,Agriculture Department,,Privacy Act of 1974; System of Records,"In accordance with the Privacy Act of 1974, as amended, the U.S. Department of Agriculture (USDA), Office of the Chief Information Officer (OCIO), proposes to establish a new system of records entitled, Freedom of Information Act (FOIA) and Privacy Act (PA) Requests and Administrative Appeals Files, to cover both electronic and paper files created during the processing of access requests and appeals under the FOIA and PA and amendment requests under the PA in all USDA components with the exception of the Office of the Inspector General (OIG) whom maintains its own system of records for these types of files. The OCIO is also deleting USDA/OCIO-01--Freedom of Information Act Express (FX) published at 76 FR 54190 (August 31, 2011) because the new system would be duplicative.",Notice,"In accordance with the Privacy Act of 1974, as amended, the U.S. Department of Agriculture (USDA), Office of the Chief Information Officer (OCIO), proposes to establish a new system of records entitled, Freedom of Information Act (FOIA) and Privacy Act...",DEPARTMENT OF AGRICULTURE,agriculture-department,https://www.federalregister.gov/agencies/agriculture-department,https://www.federalregister.gov/documents/2018/04/03/2018-06759/privacy-act-of-1974-system-of-records,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06759.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06759.pdf?1522673130,https://www.federalregister.gov/api/v1/agencies/12.json,
2018-06178,2018-04-03,12,Agriculture Department,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC): 2018/2019 Income Eligibility Guidelines","The U.S. Department of Agriculture (``Department'') announces adjusted income eligibility guidelines to be used by State agencies in determining the income eligibility of persons applying to participate in the Special Supplemental Nutrition Program for Women, Infants and Children (WIC). These income eligibility guidelines are to be used in conjunction with the WIC Regulations.",Notice,The U.S. Department of Agriculture (``Department'') announces adjusted income eligibility guidelines to be used by State agencies in determining the income eligibility of persons applying to participate in the Special Supplemental Nutrition Program for...,DEPARTMENT OF AGRICULTURE,agriculture-department,https://www.federalregister.gov/agencies/agriculture-department,https://www.federalregister.gov/documents/2018/04/03/2018-06178/special-supplemental-nutrition-program-for-women-infants-and-children-wic-20182019-income,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06178.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06178.pdf?1522673117,https://www.federalregister.gov/api/v1/agencies/12.json,
2018-06682,2018-04-03,12,Agriculture Department,Forest Service,Siskiyou Resource Advisory Committee,"The Siskiyou (OR) Resource Advisory Committee (RAC) will meet in Harbor, Oregon. The committee is authorized under the Secure Rural Schools and Community Self-Determination Act (the Act) and operates in compliance with the Federal Advisory Committee Act. The purpose of the committee is to improve collaborative relationships and to provide advice and recommendations to the Forest Service concerning projects and funding consistent with the Title II of the Act. RAC information can be found at the following website: https://cloudapps-usda- gov.secure.force.com/FSSRS/RAC_Page?id=001t0000002Jcv6AAC.",Notice,"The Siskiyou (OR) Resource Advisory Committee (RAC) will meet in Harbor, Oregon. The committee is authorized under the Secure Rural Schools and Community Self-Determination Act (the Act) and operates in compliance with the Federal Advisory Committee...",DEPARTMENT OF AGRICULTURE,agriculture-department,https://www.federalregister.gov/agencies/agriculture-department,https://www.federalregister.gov/documents/2018/04/03/2018-06682/siskiyou-resource-advisory-committee,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06682.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06682.pdf?1522673121,https://www.federalregister.gov/api/v1/agencies/12.json,
