document_number,publication_date,agency_id,agency,subagency,title,abstract,type,excerpts,raw_name,slug,url,html_url,pdf_url,public_inspection_pdf_url,json_url,parent_id
2018-10583,2018-05-22,492,Transportation Department,Federal Aviation Administration,Airworthiness Directives; DG Flugzeugbau GmbH Gliders,We are superseding Airworthiness Directive (AD) 2017-11-03 for DG Flugzeugbau GmbH Model DG-500MB gliders that are equipped with a Solo 2625 02 engine modified with a fuel injection system following the instructions of Solo Kleinmoteren GmbH Technische Mitteilung 4600-3 and identified as Solo 2625 02i. This AD results from mandatory continuing airworthiness information (MCAI) issued by an aviation authority of another country to identify and correct an unsafe condition on an aviation product. The MCAI describes the unsafe condition as failure of the connecting rod bearing resulting from too much load on the rod bearings from the engine control unit. This AD adds a model to the applicability. We are issuing this AD to require actions to address the unsafe condition on these products.,Rule,We are superseding Airworthiness Directive (AD) 2017-11-03 for DG Flugzeugbau GmbH Model DG-500MB gliders that are equipped with a Solo 2625 02 engine modified with a fuel injection system following the instructions of Solo Kleinmoteren GmbH Technische...,DEPARTMENT OF TRANSPORTATION,transportation-department,https://www.federalregister.gov/agencies/transportation-department,https://www.federalregister.gov/documents/2018/05/22/2018-10583/airworthiness-directives-dg-flugzeugbau-gmbh-gliders,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10583.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10583.pdf?1526906718,https://www.federalregister.gov/api/v1/agencies/492.json,
2018-10902,2018-05-22,77,Commodity Futures Trading Commission,,Foreign Futures and Options Transactions,"The Commodity Futures Trading Commission (Commission or CFTC) is granting an exemption to certain member firms designated by the National Stock Exchange of India Ltd. (NSE) from the application of certain of the Commission's foreign futures and option regulations based upon substituted compliance with certain comparable regulatory and self-regulatory requirements of a foreign regulatory authority consistent with conditions specified by the Commission, as set forth herein. This Order is issued pursuant to Commission Regulation 30.10, which permit persons to file a petition with the Commission for exemption from the application of certain of the Regulations set forth in part 30 and authorizes the Commission to grant such an exemption if such action would not be otherwise contrary to the public interest or to the purposes of the provision from which exemption is sought. The Commission notes that this Order does not pertain to any transaction in swaps, as defined in Section 1a(47) of the Commodity Exchange Act (Act).",Rule,The Commodity Futures Trading Commission (Commission or CFTC) is granting an exemption to certain member firms designated by the National Stock Exchange of India Ltd. (NSE) from the application of certain of the Commission's foreign futures and option...,COMMODITY FUTURES TRADING COMMISSION,commodity-futures-trading-commission,https://www.federalregister.gov/agencies/commodity-futures-trading-commission,https://www.federalregister.gov/documents/2018/05/22/2018-10902/foreign-futures-and-options-transactions,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10902.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10902.pdf?1526906731,https://www.federalregister.gov/api/v1/agencies/77.json,
2018-10867,2018-05-22,470,Social Security Administration,,Extension of Expiration Date for Endocrine Disorders Body System Listings,We are extending the expiration date of Endocrine Disorders body system in the Listing of Impairments (listings) in our regulations. We are making no other revisions to the body system in this final rule. This extension ensures that we will continue to have the criteria we need to evaluate impairments in the affected body system at step three of the sequential evaluation processes for initial claims and continuing disability reviews.,Rule,We are extending the expiration date of Endocrine Disorders body system in the Listing of Impairments (listings) in our regulations. We are making no other revisions to the body system in this final rule. This extension ensures that we will continue to...,Social Security Administration,social-security-administration,https://www.federalregister.gov/agencies/social-security-administration,https://www.federalregister.gov/documents/2018/05/22/2018-10867/extension-of-expiration-date-for-endocrine-disorders-body-system-listings,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10867.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10867.pdf?1526906726,https://www.federalregister.gov/api/v1/agencies/470.json,
2018-10872,2018-05-22,227,Homeland Security Department,Coast Guard,"Drawbridge Operation Regulation; Shrewsbury River, Sea Bright, New Jersey","The Coast Guard has issued a temporary deviation from the operating schedule that governs the Monmouth County Highway Bridge (alternatively referred to as the ``Sea Bright Bridge'' or the ``S-32 Bridge'') across the Shrewsbury River, mile 4.0, at Sea Bright, New Jersey. This deviation will test a proposed change to the drawbridge operation schedule to determine whether a permanent change to the schedule is warranted. This deviation will allow the bridge to operate under an alternate schedule that seeks to balance the seasonally high volume of roadway traffic crossing the bridge during peak hours with the existing needs of marine traffic.",Rule,"The Coast Guard has issued a temporary deviation from the operating schedule that governs the Monmouth County Highway Bridge (alternatively referred to as the ``Sea Bright Bridge'' or the ``S-32 Bridge'') across the Shrewsbury River, mile 4.0, at Sea...",DEPARTMENT OF HOMELAND SECURITY,homeland-security-department,https://www.federalregister.gov/agencies/homeland-security-department,https://www.federalregister.gov/documents/2018/05/22/2018-10872/drawbridge-operation-regulation-shrewsbury-river-sea-bright-new-jersey,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10872.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10872.pdf?1526906727,https://www.federalregister.gov/api/v1/agencies/227.json,
2018-10940,2018-05-22,227,Homeland Security Department,Coast Guard,"Drawbridge Operation Regulation; Long Creek & Sloop Channel, Hempstead, NY","The Coast Guard has issued a temporary deviation from the operating schedule that governs the Loop Parkway Bridge across Long Creek, mile 0.7, and Meadowbrook State Parkway Bridge across Sloop Channel, mile 12.8, both at Hempstead, New York. This deviation is necessary in order to facilitate a motorcycle ride event and allows both bridges to remain in the closed position for two hours.",Rule,"The Coast Guard has issued a temporary deviation from the operating schedule that governs the Loop Parkway Bridge across Long Creek, mile 0.7, and Meadowbrook State Parkway Bridge across Sloop Channel, mile 12.8, both at Hempstead, New York. This...",DEPARTMENT OF HOMELAND SECURITY,homeland-security-department,https://www.federalregister.gov/agencies/homeland-security-department,https://www.federalregister.gov/documents/2018/05/22/2018-10940/drawbridge-operation-regulation-long-creek-and-sloop-channel-hempstead-ny,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10940.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10940.pdf?1526906735,https://www.federalregister.gov/api/v1/agencies/227.json,
2018-10860,2018-05-22,227,Homeland Security Department,Coast Guard,"Safety Zone; Annual Swim Around Key West, Key West, FL","The Coast Guard will enforce the temporary safety zone for the 42nd Annual Swim Around Key West, Key West, Florida from 9 a.m. until 6 p.m. on June 16, 2018. Our regulation for Recurring Safety Zones in Captain of the Port Key West Zone identifies the regulated area for this event. This action is necessary to ensure the safety of event participants and spectators. During the enforcement period, no person or vessel may enter, transit through, anchor in, or remain within the regulated area without approval from the Captain of the Port Key West or a designated representative.",Rule,"The Coast Guard will enforce the temporary safety zone for the 42nd Annual Swim Around Key West, Key West, Florida from 9 a.m. until 6 p.m. on June 16, 2018. Our regulation for Recurring Safety Zones in Captain of the Port Key West Zone identifies the...",DEPARTMENT OF HOMELAND SECURITY,homeland-security-department,https://www.federalregister.gov/agencies/homeland-security-department,https://www.federalregister.gov/documents/2018/05/22/2018-10860/safety-zone-annual-swim-around-key-west-key-west-fl,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10860.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10860.pdf?1526906724,https://www.federalregister.gov/api/v1/agencies/227.json,
2018-10861,2018-05-22,227,Homeland Security Department,Coast Guard,"Safety Zone; FKCC Swim Around Key West, Key West, FL","The Coast Guard will enforce the temporary safety zone for the Annual FKCC Swim Around Key West, in Key West, Florida from 9 a.m. until 6 p.m. on June 30, 2018. Our regulation for Recurring Safety Zones in Captain of the Port Key West Zone identifies the regulated area for this event. This action is necessary to ensure the safety of event participants and spectators. During the enforcement period, no person or vessel may enter, transit through, anchor in, or remain within the regulated area without approval from the Captain of the Port Key West or a designated representative.",Rule,"The Coast Guard will enforce the temporary safety zone for the Annual FKCC Swim Around Key West, in Key West, Florida from 9 a.m. until 6 p.m. on June 30, 2018. Our regulation for Recurring Safety Zones in Captain of the Port Key West Zone identifies...",DEPARTMENT OF HOMELAND SECURITY,homeland-security-department,https://www.federalregister.gov/agencies/homeland-security-department,https://www.federalregister.gov/documents/2018/05/22/2018-10861/safety-zone-fkcc-swim-around-key-west-key-west-fl,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10861.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10861.pdf?1526906724,https://www.federalregister.gov/api/v1/agencies/227.json,
2018-10891,2018-05-22,227,Homeland Security Department,Coast Guard,"Safety Zones; Annual Events Requiring Safety Zones in the Captain of the Port Lake Michigan Zone-Michigan City Summerfest Fireworks, Lake Michigan","The Coast Guard will enforce the safety zone in 33 CFR 165.929 for the Michigan City Summerfest Fireworks on a portion of Lake Michigan on July 4, 2018. This action is necessary and intended to ensure safety of life and property on navigable waters prior to, during, and immediately after the fireworks display. During the enforcement period listed below, entry into, transiting, or anchoring within the safety zone is prohibited unless authorized by the Captain of the Port Lake Michigan or a designated representative.",Rule,"The Coast Guard will enforce the safety zone in 33 CFR 165.929 for the Michigan City Summerfest Fireworks on a portion of Lake Michigan on July 4, 2018. This action is necessary and intended to ensure safety of life and property on navigable waters...",DEPARTMENT OF HOMELAND SECURITY,homeland-security-department,https://www.federalregister.gov/agencies/homeland-security-department,https://www.federalregister.gov/documents/2018/05/22/2018-10891/safety-zones-annual-events-requiring-safety-zones-in-the-captain-of-the-port-lake-michigan,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10891.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10891.pdf?1526906728,https://www.federalregister.gov/api/v1/agencies/227.json,
2018-10923,2018-05-22,221,Health and Human Services Department,Centers for Medicare & Medicaid Services,Medicare Program; CY 2018 Updates to the Quality Payment Program; and Quality Payment Program: Extreme and Uncontrollable Circumstance Policy for the Transition Year; Corrections,"This document corrects technical errors that appeared in the final rule with comment period and interim final rule with comment period published in the Federal Register on November 16, 2017 entitled ``Medicare Program; CY 2018 Updates to the Quality Payment Program; and Quality Payment Program: Extreme and Uncontrollable Circumstance Policy for the Transition Year'' (hereinafter referred to as the ``CY 2018 Quality Payment Program final rule'').",Rule,"This document corrects technical errors that appeared in the final rule with comment period and interim final rule with comment period published in the Federal Register on November 16, 2017 entitled ``Medicare Program; CY 2018 Updates to the Quality...",DEPARTMENT OF HEALTH AND HUMAN SERVICES,health-and-human-services-department,https://www.federalregister.gov/agencies/health-and-human-services-department,https://www.federalregister.gov/documents/2018/05/22/2018-10923/medicare-program-cy-2018-updates-to-the-quality-payment-program-and-quality-payment-program-extreme,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10923.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10923.pdf?1526906733,https://www.federalregister.gov/api/v1/agencies/221.json,
2018-10844,2018-05-22,227,Homeland Security Department,Federal Emergency Management Agency,Suspension of Community Eligibility,"This rule identifies communities where the sale of flood insurance has been authorized under the National Flood Insurance Program (NFIP) that are scheduled for suspension on the effective dates listed within this rule because of noncompliance with the floodplain management requirements of the program. If the Federal Emergency Management Agency (FEMA) receives documentation that the community has adopted the required floodplain management measures prior to the effective suspension date given in this rule, the suspension will not occur and a notice of this will be provided by publication in the Federal Register on a subsequent date. Also, information identifying the current participation status of a community can be obtained from FEMA's Community Status Book (CSB). The CSB is available at https:// www.fema.gov/national-flood-insurance-program-community-status-book.",Rule,This rule identifies communities where the sale of flood insurance has been authorized under the National Flood Insurance Program (NFIP) that are scheduled for suspension on the effective dates listed within this rule because of noncompliance with the...,DEPARTMENT OF HOMELAND SECURITY,homeland-security-department,https://www.federalregister.gov/agencies/homeland-security-department,https://www.federalregister.gov/documents/2018/05/22/2018-10844/suspension-of-community-eligibility,https://www.gpo.gov/fdsys/pkg/FR-2018-05-22/pdf/2018-10844.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-10844.pdf?1526906723,https://www.federalregister.gov/api/v1/agencies/227.json,
